registry_id	display_name	category	value_type	domain	uuid	metadata	candidate_fqns	action_needed
resource.ibor.accounting_basis	resource.ibor.accounting_basis	resource	string	Resource	8a33b2d8-4cab-41bb-b4c9-c8166e8901d1	{}		NEEDS_REVIEW: ambiguous mapping
resource.ibor.portfolio_code	resource.ibor.portfolio_code	resource	string	Resource	77189a39-9c48-48aa-b24a-4f989c0f149a	{}		NEEDS_REVIEW: ambiguous mapping
resource.ibor.position_source	resource.ibor.position_source	resource	string	Resource	563d1b98-366e-4a68-840f-63fe160a0093	{}		NEEDS_REVIEW: ambiguous mapping
resource.ibor.reconciliation_enabled	resource.ibor.reconciliation_enabled	resource	boolean	Resource	211e9056-f5d0-4a1e-a43b-a1a25065cd6e	{}		NEEDS_REVIEW: ambiguous mapping
resource.settlement.bic_code	resource.settlement.bic_code	resource	string	Resource	c1256133-ef6a-4e46-aa0e-a731b62a9533	{}		NEEDS_REVIEW: ambiguous mapping
resource.settlement.csd_participant_id	resource.settlement.csd_participant_id	resource	string	Resource	d7f26e1e-736a-4e4d-be6d-2aa4ed1544ca	{}		NEEDS_REVIEW: ambiguous mapping
resource.settlement.netting_enabled	resource.settlement.netting_enabled	resource	boolean	Resource	7b1b42d1-cb00-46c7-9c5c-bb698846daf7	{}		NEEDS_REVIEW: ambiguous mapping
resource.settlement.settlement_currency	resource.settlement.settlement_currency	resource	string	Resource	6ff892ce-7238-4fdf-8637-c5c01c3d279e	{}		NEEDS_REVIEW: ambiguous mapping
resource.swift.logical_terminal	resource.swift.logical_terminal	resource	string	Resource	d8db186f-c7ae-4332-b0e9-6e973c4bdcf2	{}		NEEDS_REVIEW: ambiguous mapping
resource.swift.message_types	resource.swift.message_types	resource	json	Resource	6a676ee1-ed88-4a43-aa12-8f3bc799c4de	{}		NEEDS_REVIEW: ambiguous mapping
resource.swift.rma_status	resource.swift.rma_status	resource	string	Resource	584c8f31-fbbf-4575-9e5d-e1845953ae46	{}		NEEDS_REVIEW: ambiguous mapping
