Fund Name,Primary ISIN,Asset Class,SFDR,Legal Structure,Share Classes,Benchmark,Risk Rating,Ongoing Charges,AUM
"Allianz US High Yield",LU0765755177,Fixed Income,Article 6,Share,19,"",,,""
"Allianz Money Market US $",LU0057107152,Fixed Income,Article 8,Share,4,"",,,""
"Allianz Global Opportunistic Bond",LU2014481746,Fixed Income,Article 6,Share,30,"",,,""
"Allianz Best Styles Pacific Equity",LU1211505901,Equity,Article 6,Share,6,"",,,""
"Allianz Europe Equity Growth Select",LU0920782991,Equity,Article 8,Share,20,"",,,""
